# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 01 13:31:31 PDT 2023 [seed=1682973089802]
# -save_state saved_state -save_every 100000 -threads 1 -beagle_GPU -beagle_cuda -beagle_scaling dynamic infile.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
34000	-19802.68608506992	-187.56256115687742	-19615.123523913044	0.8465013370858501	17.040144076405614	3.182940048676328	1.0	1.0	-19615.123523913044	0.0	-186.40475584360362
35000	-19800.780937174804	-187.01038887141732	-19613.770548303386	0.856543475429344	17.176101189791492	3.677086503538949	1.0	1.0	-19613.770548303386	0.0	-185.70826814379998
36000	-19793.4383939366	-185.38326268902208	-19608.05513124758	0.8691909313241841	16.798781455537743	4.008485380155155	1.0	1.0	-19608.05513124758	0.0	-183.99484922973875
37000	-19782.266778512327	-180.26823940960188	-19601.998539102726	0.8712230417306617	16.207219407420705	3.1770266318989266	1.0	1.0	-19601.998539102726	0.0	-179.11229367163043
38000	-19788.170446065444	-185.30146402842303	-19602.86898203702	0.9158610386348212	17.02503597808057	3.0236324538646437	1.0	1.0	-19602.86898203702	0.0	-184.19500512052687
39000	-19778.749519452624	-182.1958493726147	-19596.553670080008	0.9247620075401417	16.652241446526855	3.7393101257601833	1.0	1.0	-19596.553670080008	0.0	-180.87694823655568
40000	-19767.94150048166	-183.84734661006883	-19584.09415387159	0.9337020098900787	16.916651969643883	3.347704442245672	1.0	1.0	-19584.09415387159	0.0	-182.63907174023754
41000	-19781.13915064184	-185.02475304615785	-19596.114397595684	0.9242397081922321	17.151280849085406	3.775860082440039	1.0	1.0	-19596.114397595684	0.0	-183.69612485299967
42000	-19778.74897391207	-182.15942963071205	-19596.589544281356	0.8820472838139031	16.67439196618512	3.721492659419071	1.0	1.0	-19596.589544281356	0.0	-180.84530479037525
43000	-19771.985635098736	-185.143331236571	-19586.842303862166	0.897766595041703	17.235591431934466	3.9671599686696686	1.0	1.0	-19586.842303862166	0.0	-183.7652807710044
44000	-19770.651869839534	-183.65106983775098	-19587.000800001784	0.8726886605639943	16.586287482329524	4.078372519482255	1.0	1.0	-19587.000800001784	0.0	-182.24537182119735
45000	-19776.74755542183	-186.25283609925302	-19590.494719322574	0.9312878475944905	17.163414448996235	4.302279154881692	1.0	1.0	-19590.494719322574	0.0	-184.79369118095397
46000	-19776.2024613978	-182.81096007084707	-19593.39150132695	0.9213402750408314	16.891282365263173	3.558970612938566	1.0	1.0	-19593.39150132695	0.0	-181.54148872146507
47000	-19760.98330228767	-181.57280576834873	-19579.410496519322	0.9062548595458112	16.584417911422708	3.4844062455960105	1.0	1.0	-19579.410496519322	0.0	-180.32450811294254
