# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue May 02 21:10:47 PDT 2023 [seed=1683087046578]
# -save_state saved_state -save_every 100000 -threads 1 -beagle_GPU -beagle_cuda -beagle_scaling dynamic infile.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
22000	-24937.760477166612	-225.9532753681147	-24711.807201798496	0.9304552693087067	20.458689409134294	4.753803554696606	1.0	1.0	-24711.807201798496	0.0	-224.3943303221389
23000	-24940.78975934595	-226.79259817747456	-24713.997161168474	1.0232467795103735	20.71357846800847	5.122709429287705	1.0	1.0	-24713.997161168474	0.0	-225.1589146929846
24000	-24944.451506063582	-224.19639811949887	-24720.255107944082	0.9410796559638764	20.260952970565548	4.00996108779797	1.0	1.0	-24720.255107944082	0.0	-222.8076165820185
25000	-24936.041329440417	-226.93786074398932	-24709.103468696427	0.9246212142023518	20.688695128208924	4.850379952351189	1.0	1.0	-24709.103468696427	0.0	-225.35880370141743
26000	-24935.595867749074	-221.98182351941634	-24713.614044229656	0.8930255503155384	19.59859856963476	4.182974558147486	1.0	1.0	-24713.614044229656	0.0	-220.55080090917716
27000	-24934.56210954565	-227.85897292259318	-24706.70313662306	0.8957813533361787	20.528296545158792	3.776231026308697	1.0	1.0	-24706.70313662306	0.0	-226.53024649336672
28000	-24936.605934929776	-226.25809074977656	-24710.34784418	0.8812596198346051	20.511269314302833	4.437026787726819	1.0	1.0	-24710.34784418	0.0	-224.7681062400469
29000	-24935.999710301632	-222.22241128584486	-24713.777299015786	0.9401824537042428	20.13409757178123	4.382946798406262	1.0	1.0	-24713.777299015786	0.0	-220.74469000265063
30000	-24937.31844724746	-226.50466575496623	-24710.813781492496	0.9640235754082515	20.876326972346423	4.969565039876013	1.0	1.0	-24710.813781492496	0.0	-224.9013334358151
31000	-24936.913686455217	-221.93473495546658	-24714.97895149975	0.967060258369053	20.162518148698314	4.838305366549647	1.0	1.0	-24714.97895149975	0.0	-220.35817042692634
32000	-24932.789176888535	-225.29666260187813	-24707.492514286656	1.0535140586165397	21.17380751815174	4.651885280422947	1.0	1.0	-24707.492514286656	0.0	-223.759390027796
33000	-24918.025699748923	-220.65716693271298	-24697.36853281621	0.9651339119393294	20.016104061211443	4.390455866536917	1.0	1.0	-24697.36853281621	0.0	-219.17773386898136
34000	-24946.57522677805	-223.63135260740665	-24722.943874170644	0.9606639392741892	20.713252029479808	3.8120604635410666	1.0	1.0	-24722.943874170644	0.0	-222.29318276037085
35000	-24928.063787780877	-222.06983649168376	-24705.993951289194	0.931468879969054	20.035931146552464	5.147009855035626	1.0	1.0	-24705.993951289194	0.0	-220.43142055630045
36000	-24931.17252061568	-219.63732614580906	-24711.53519446987	0.9887123619803563	19.821752350176236	4.41885874473835	1.0	1.0	-24711.53519446987	0.0	-218.15144468560734
37000	-24929.97688090623	-223.74214981191338	-24706.234731094315	0.9439390444530986	20.045330618061698	5.478119957887814	1.0	1.0	-24706.234731094315	0.0	-222.0413878431947
38000	-24931.73149457881	-222.13607344661352	-24709.595421132195	0.9630654265344389	20.048558767841502	3.7507408881210695	1.0	1.0	-24709.595421132195	0.0	-220.81412005598
39000	-24934.328532096544	-224.56770722008534	-24709.76082487646	0.9662581434232653	20.382426808079824	3.7538859568449765	1.0	1.0	-24709.76082487646	0.0	-223.24491566148612
40000	-24932.546508149095	-222.89070280048273	-24709.65580534861	0.9398029487608563	20.417452407261514	4.2996902579713945	1.0	1.0	-24709.65580534861	0.0	-221.43215981340762
41000	-24923.429998334992	-222.45476927054335	-24700.97522906445	0.9212850137334309	20.038964384165197	5.155085358025919	1.0	1.0	-24700.97522906445	0.0	-220.81478559491356
42000	-24918.748402848716	-224.04070702781735	-24694.7076958209	0.93368005984294	20.66125052567086	4.630672475922596	1.0	1.0	-24694.7076958209	0.0	-222.50800492708615
43000	-24934.643342245574	-223.20680877973197	-24711.436533465843	0.9580461640064349	20.615003575554848	3.8898479649740096	1.0	1.0	-24711.436533465843	0.0	-221.84843870641964
44000	-24932.633210790507	-222.1262130146976	-24710.50699777581	0.9326227453066969	20.34907258395857	4.377198007704025	1.0	1.0	-24710.50699777581	0.0	-220.64980421928863
45000	-24939.611790954536	-221.49595923295772	-24718.115831721578	0.9446574298381323	20.286868490805496	4.372745493240122	1.0	1.0	-24718.115831721578	0.0	-220.02056816179982
46000	-24946.543699720864	-221.6341951981427	-24724.909504522722	0.8650990810203523	19.952081385271878	4.380371593343035	1.0	1.0	-24724.909504522722	0.0	-220.15706163869015
47000	-24942.401128676553	-226.14434312201828	-24716.256785554535	0.9107321085989352	20.788019906027095	5.120460568800505	1.0	1.0	-24716.256785554535	0.0	-224.5110987321687
48000	-24935.881774094054	-226.39702509287721	-24709.484749001178	0.9184564510804863	20.891149051862605	5.201789564309348	1.0	1.0	-24709.484749001178	0.0	-224.74802237951226
49000	-24916.875997074887	-223.073784238846	-24693.802212836043	0.9109921597566294	19.93424547453675	5.4411250262524735	1.0	1.0	-24693.802212836043	0.0	-221.37979839306323
50000	-24917.7354470383	-225.1572745944464	-24692.578172443853	0.947001919907462	20.920869794498078	4.355359382520673	1.0	1.0	-24692.578172443853	0.0	-223.6858674657279
51000	-24912.21250149778	-223.24564012036697	-24688.966861377412	0.9351843618382097	20.56927533557592	3.976947907126723	1.0	1.0	-24688.966861377412	0.0	-221.8651254527621
52000	-24922.850007838588	-223.393251441519	-24699.45675639707	1.0238120292038264	20.500612389382624	5.0805003472821095	1.0	1.0	-24699.45675639707	0.0	-221.7678416912193
53000	-24908.80694227851	-223.8596736004198	-24684.94726867809	0.9599096482153259	20.171304977913646	3.540065818676651	1.0	1.0	-24684.94726867809	0.0	-222.59552828060043
54000	-24921.63279936393	-222.89463228516115	-24698.73816707877	0.9409802632350845	20.313438432387866	4.405471956769444	1.0	1.0	-24698.73816707877	0.0	-221.41178489036136
55000	-24912.615579377	-221.1976562382351	-24691.417923138768	0.9985470079550964	20.187377547053707	4.63604180091538	1.0	1.0	-24691.417923138768	0.0	-219.66379529620735
56000	-24922.44919656549	-220.11118088586326	-24702.338015679627	0.9849567305698873	19.92004298175112	4.320099962704715	1.0	1.0	-24702.338015679627	0.0	-218.64790234435998
57000	-24924.576025300656	-223.61888518565632	-24700.957140115	0.9855200096426426	20.449083937537207	4.684675074607845	1.0	1.0	-24700.957140115	0.0	-222.07458862677709
58000	-24933.860752587654	-224.31073665570585	-24709.55001593195	1.0196250614655447	20.414448873088528	3.8003536925945065	1.0	1.0	-24709.55001593195	0.0	-222.97564251630635
59000	-24919.946588759412	-223.30034685750144	-24696.64624190191	1.0124792601597425	20.33560126825968	4.669378486412052	1.0	1.0	-24696.64624190191	0.0	-221.75932088109883
60000	-24927.334966242215	-224.61461798081848	-24702.720348261395	0.9779171889726086	20.657017518470727	4.664470832884653	1.0	1.0	-24702.720348261395	0.0	-223.0746435864185
61000	-24921.810053379206	-226.12204192193232	-24695.688011457274	0.9827498318788728	20.564605859937824	5.2409484769072305	1.0	1.0	-24695.688011457274	0.0	-224.4655394329358
62000	-24915.81031772125	-224.42857715949734	-24691.381740561752	1.0047333749564529	19.93218592447976	5.306612984762669	1.0	1.0	-24691.381740561752	0.0	-222.75962338373705
63000	-24916.48240980991	-228.66046736927257	-24687.821942440638	0.9419458094348441	20.298186302601266	6.061113476289937	1.0	1.0	-24687.821942440638	0.0	-226.85857384410778
64000	-24915.331685807934	-223.7239970371714	-24691.607688770764	0.9780102988493447	20.091696609600454	4.640469305896811	1.0	1.0	-24691.607688770764	0.0	-222.18918153253563
65000	-24916.544596449752	-222.81056738384441	-24693.73402906591	0.966983514485372	19.809166344192512	4.7261707811443525	1.0	1.0	-24693.73402906591	0.0	-221.257452069223
